Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Unnamed,"Ponoka Centennial Park
Pond",NE5-43-25-W4,TGTR,Beitty/Bow River,3N,20.6,100,2023-05-04
Unnamed,Ponoka Centennial Park Pond,NE5-43-25-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1000,2023-05-10
Unnamed,Radway Fish Pond,SE31-58-20-W4,RNTR,Trout Lodge/Jumpers,AF3N,19.9,1000,2023-05-12
Unnamed,"Rainbow Lake
Pond",NE25-109-9-W6,RNTR,Trout Lodge/Jumpers,AF3N,24.9,251,2023-09-15
Unnamed,Riverstone Pond,SW24-8-22-W4,RNTR,Campbell Lake,3N,20.3,512,2023-09-22
Unnamed,Riverstone Pond,SW24-8-22-W4,RNTR,Trout Lodge/Jumpers,AF3N,21.1,919,2023-04-18
Unnamed,Riverstone Pond,SW24-8-22-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.2,512,2023-09-22
Unnamed,"Severn Creek
Reservoir",NW12-26-22-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.2,2811,2023-04-26
Unnamed,"Shell True North
Pond",SW10-79-8-W6,BKTR,Beitty Resort,3N,19.3,590,2023-05-10
Unnamed,Shell True North Pond,SW10-79-8-W6,TGTR,Beitty/Bow River,2N,21.4,50,2023-05-10
Unnamed,Shemeluk Lake,SW25-60-17-W4,RNTR,Pit Lake,2N,17,2790,2023-05-18
Unnamed,Shuster Lake,NE26-43-5-W4,BKTR,Beitty Resort,3N,21.4,1500,2023-05-31
Unnamed,Shuster Lake,NE26-43-5-W4,BKTR,Beitty Resort,3N,21.4,1500,2023-06-01
Unnamed,Silkstone Lake,NE9-47-19-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.3,616,2023-10-03
Unnamed,Spring Coulee Park Pond,NE12-5-24-W4,RNTR,Trout Lodge/Jumpers,AF3N,21.6,1255,2023-04-25
Unnamed,Spring Lake,NE23-75-11-W6,RNTR,Trout Lodge/Kamloops,AF3N,17.4,3034,2023-05-23
Unnamed,"St. Paul Fish
Pond",SE9-58-9-W4,BNTR,Bow River,3N,19.5,400,2023-05-03
Unnamed,"St. Paul Fish
Pond",SE9-58-9-W4,RNTR,Campbell Lake,2N,20.3,718,2023-05-03
Unnamed,St. Paul Fish Pond,SE9-58-9-W4,TGTR,Beitty/Bow River,3N,18.9,300,2023-05-03
Unnamed,St. Paul Fish Pond,SE9-58-9-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.1,304,2023-09-19
Unnamed,"Stirling
Children's Pond",SW29-6-19-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.7,1000,2023-04-27
Unnamed,"Strathmore
Children's Pond",SW14-24-25-W4,TGTR,Beitty/Bow River,3N,19.6,150,2023-04-26
Unnamed,Strathmore Children's Pond,SW14-24-25-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.7,1400,2023-04-27
Unnamed,"Taber Trout
Pond",NW1-10-17-W4,RNTR,Trout Lodge/Kamloops,AF3N,21.7,2690,2023-04-27
Unnamed,Taber Trout Pond,NW1-10-17-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.2,2500,2023-05-29
Unnamed,Tamarack Lake,NE10-66-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,8.5,8000,2023-10-11
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,BKTR,Beitty Resort,3N,20.7,1200,2023-05-08
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.6,1100,2023-04-28
Unnamed,"Telegraph Park
Pond",NW32-48-21-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.9,506,2023-09-20
Unnamed,Telegraph Park Pond,NW32-48-21-W4,BNTR,Bow River,3N,18.3,193,2023-04-28
Unnamed,Texaco East Pond,NW15-88-8-W4,RNTR,Campbell Lake,2N,19.7,1077,2023-05-08
Unnamed,Texaco Pond,SW20-88-8-W4,RNTR,Campbell Lake,2N,20.5,599,2023-05-09
Unnamed,"Tim Horton
Children's Pond",NW14-24-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.8,602,2023-05-19
