name,other_name,district,lat,long,ats,waterbody_id
PIERRE GREYS LAKES,MIDDLE PIERRE GREYS LAKE,GRANDE CACHE,53.90135,-118.588692,NW6-57-4-W6,6533
PIERRE GREYS LAKES,UPPER PIERRE GREYS LAKES,GRANDE CACHE,53.908548,-118.585692,SW7-57-4-W6,5572
PIERRE GREYS LAKES,LOWER PIERRE GREYS LAKE,GRANDE CACHE,53.910427,-118.60656,SE12-57-5-W6,6534
PINE COULEE RESERVOIR,,CLARESHOLM,50.1757,-113.737738,NE15-14-28-W4,18007
PIT 24,,EDSON,53.030531,-116.714447,NE4-47-19-W5,23789
PIT 35,,EDSON,52.992044,-116.649313,SW26-46-19-W5,23790
PIT 44,,EDSON,53.004695,-116.653503,SW35-46-19-W5,24312
PIT 45,,EDSON,52.992815,-116.645687,SE26-46-19-W5,23791
PLEASURE ISLAND RESERVOIR,,CAMROSE,52.979766,-112.729392,SW20-46-19-W4,6706
PONOKA CENTENNIAL PARK POND,,PONOKA,52.680354,-113.584991,NE5-43-25-W4,6871
RADWAY FISH POND,,SMOKY LAKE,54.056793,-112.95596,SE31-58-20-W4,26047
RAINBOW LAKE POND,,HIGH LEVEL,58.495385,-119.349303,NE25-109-9-W6,6705
RAINBOW PARK POND,WESTLOCK RECREATION POND,BARRHEAD,54.145706,-113.727525,NE31-59-25-W4,6613
RAT LAKE,,,52.247523,-115.183801,SW11-38-9-W5,
Rattlesnake Lake,Sauder (Rattlesnake) Reservoir,,,,SE8-12-8-W4,
REESOR LAKE,,MEDICINE HAT,49.66537,-110.106922,NW20-8-1-W4,5661
RIVERSTONE POND,,LETHBRIDGE,49.659849,-112.863787,SW24-8-22-W4,22504
ROCKY CHILDREN'S POND,,ROCKY MOUNTAIN HOUSE,52.398682,-114.949741,SW33-39-7-W5,3485
RUNNING LAKE,,FAIRVIEW,56.669178,-119.0339,SW34-88-7-W6,5714
SALTER'S LAKE,,BARRHEAD,53.690156,-114.191032,SW26-54-2-W5,5729
SARDINE LAKE,,DRAYTON VALLEY,53.193482,-114.551159,SW5-49-4-W5,6695
SAUER LAKE,,STONY PLAIN,53.612875,-114.078152,NE28-53-1-W5,5753
SCHUMAN LAKE,,SWAN HILLS,54.318086,-115.077728,SE35-61-8-W5,5766
SEVERN CREEK RESERVOIR,,STRATHMORE,51.208304,-112.955705,NW12-26-22-W4,6697
SHELL TRUE NORTH POND,,CD GRANDE PRAIRIE,55.829544,-119.167595,SW10-79-8-W6,328085
SHEMELUK LAKE,,SMOKY LAKE,54.212986,-112.423089,SW25-60-17-W4,6699
SHUSTER LAKE,,VERMILION,52.740747,-110.609119,NE26-43-5-W4,6688
SIBBALD LAKE,,,51.048693,-114.866712,NE14-24-7-W5,
SIBBALD MEADOWS POND,,CANMORE,51.05457,-114.944741,SW20-24-7-W5,3486
SILKSTONE LAKE,,EDSON,53.0436,-116.717434,NE9-47-19-W5,6651
SOUTH SUNDANCE LAKE,,,53.722144,-116.979844,SE1-55-21-W5,
SPARROW'S EGG LAKE,,CANMORE,50.673406,-115.105897,NW6-20-8-W5,5858
SPRING COULEE PARK POND,,CARDSTON,49.372404,-113.108558,NE12-5-24-W4,6692
SPRING LAKE,COTTAGE,STONY PLAIN,53.517861,-114.138808,SW30-52-1-W5,5874
SPRING LAKE,,SPIRIT RIVER,55.513162,-119.583801,NE23-75-11-W6,6693
SPRUCE COULEE RESERVOIR,,MEDICINE HAT,49.673739,-110.181613,SW26-8-2-W4,3534
St. Mary reservoir,,,,,SE29-4-24-W4,
ST. PAUL FISH POND,,ST. PAUL,53.9954,-111.2685,SE9-58-9-W4,24702
STAFFORD RESERVOIR,STAFFORD LAKE,LETHBRIDGE,49.683103,-112.356181,NE27-8-18-W4,3536
STAR LAKE,,STONY PLAIN,53.510057,-114.273086,NE19-52-2-W5,5895
STIRLING CHILDREN'S POND,,LETHBRIDGE,49.500793,-112.5376,SW29-6-19-W4,6682
STRATHMORE CHILDREN'S POND,,STRATHMORE,51.041855,-113.390752,SW14-24-25-W4,6686
STRUBEL LAKE,,ROCKY MOUNTAIN HOUSE,52.203976,-115.001395,SW30-37-7-W5,5919
SULPHUR LAKE,,FAIRVIEW,56.706382,-118.318549,NW7-89-2-W6,5929
SWAN LAKE,,VALLEYVIEW,55.059122,-117.813668,SW18-70-25-W5,5944
SYLVAN LAKE,,RED DEER,52.374063,-114.187701,NW23-39-2-W5,5952
TABER TROUT POND,,MEDICINE HAT,49.794747,-112.188165,NW1-10-17-W4,318138
TAMARACK LAKE,,,54.702083,-115.71791,NE10-66-12-W5,
TAY LAKE,,ROCKY MOUNTAIN HOUSE,52.061406,-115.11934,SW5-36-8-W5,5968
Tea Lakes,,,,,SW16-67-7-W5,
TELEGRAPH PARK POND,,CAMROSE,53.1886,-113.0443,NW32-48-21-W4,6674
TEXACO EAST POND,,FORT MCMURRAY,56.637029,-111.191296,NW15-88-8-W4,6636
TEXACO POND,,FORT MCMURRAY,56.639271,-111.248523,SW20-88-8-W4,6637
TIM HORTON CHILDREN'S POND,,CANMORE,51.046185,-115.018195,NW14-24-8-W5,6677
TRAPPER LAKE,,,54.022698,-116.362574,SE19-58-16-W5,
TRAVERS RESERVOIR,,VULCAN,50.208146,-112.815929,SW33-14-21-W4,3537
TWIN LAKES,,ROCKY MOUNTAIN HOUSE,52.413889,-115.001806,SW6-40-7-W5,6039
TWIN LAKES,EAST TWIN LAKE,MANNING,57.45,-117.533333,NE29-97-22-W5,6044
Twin Valley Reservoir,,,,,NE7-15-25-W4,
TWO HILLS POND,,VEGREVILLE,53.703308,-111.744946,SW32-54-12-W4,6670
TWO LAKES,NORTH TWO LAKE,GRANDE PRAIRIE,54.380594,-119.755438,NE20-62-12-W6,6535
TWO LAKES,South TWO LAKE,GRANDE PRAIRIE,,,NE7-62-12-W6,
UPPER CHAMPION LAKE,,COCHRANE,50.815306,-114.599941,NW26-21-5-W5,6607
Upper Kananaskis Lake,,,,,NW23-19-9-W5,
UPPER WILDHORSE LAKE,,HINTON,53.271338,-117.80152,SW31-49-26-W5*,6160
VALLEYVIEW CHILDREN'S POND,,VALLEYVIEW,55.076591,-117.284529,NE21-70-22-W5,6618
VEGREVILLE CHILDREN'S POND,,VEGREVILLE,53.492329,-112.035539,NW17-52-14-W4,6619
VEGREVILLE TROUT POND,,VEGREVILLE,53.474312,-112.05988,SW7-52-14-W4,6620
VERMILION PARK POND,CLAUDE N. BRENNAN MEMORIAL POND,VERMILION,53.364531,-110.884936,NE36-50-7-W4,6082
VICTOR LAKE,,GRANDE CACHE,53.882014,-119.090207,SW35-56-8-W6,6086
WALLACE PARK POND,,VERMILION,52.8425,-110.85653,NE31-44-6-W4,6622
WEBERVILLE POND,,PEACE RIVER,56.360995,-117.311159,NW7-85-21-W5,6609
WEST DOLLAR LAKE,,VALLEYVIEW,55.317308,-117.209194,SE18-73-21-W5,6524
WETASKIWIN POND,,WETASKIWIN,52.987222,-113.353311,NE24-46-24-W4,18019
WHITECOURT TOWN POND,,WHITECOURT,54.149158,-115.685342,NE35-59-12-W5,21137
WHITERIDGE RECREATION AREA POND,BLUERIDGE PIT,WHITECOURT,54.15613,-115.364319,SW1-60-10-W5,26033
WILDWOOD POND,,EVANSBURG,53.601291,-115.318904,SW30-53-9-W5,6625
WINCHELL LAKE,,SUNDRE,51.454862,-114.609375,NW2-29-5-W5,6617
WINDSOR LAKE,,PONOKA,52.595848,-113.093667,SW10-42-22-W4,6173
WOLF CREEK POND,,EDSON,53.574507,-116.2285,SW13-53-16-W5,6626
YELLOWHEAD LAKE,,SUNDRE,51.957774,-114.802334,SW33-34-6-W5,6601
ZAMA COMMUNITY POND,,HIGH LEVEL,59.161004,-118.681101,SW18-117-4-W6,6598
