Lake_Name,ATS_Location,Species_Code,Strain,Genotype,Avg_Length,Quantity_Stocked,Stocking_Date
Boyle Pond,NE16-64-19-W4,RNTR,Riverence,AF3N,22.9,2200,12-05-2026
Brooks Aquaduct Pond,NE15-18-14-W4,RNTR,Riverence,AF2N,20.6,10000,15-04-2026
Bud Miller Park Pond,NE26-49-1-W4,RNTR,Riverence,AF3N,24.5,1500,06-05-2026
Bullshead Reservoir,NE29-8-4-W4,RNTR,Riverence,AF3N,24.2,1000,09-05-2026
By The Lake Park,SW22-46-24-W4,RNTR,Riverence,AF2N,20.7,5000,07-05-2026
Captain Eyre Lake (Capt,NW30-38-5-W4,RNTR,Riverence,AF2N,20.5,5000,28-04-2026
Cardiff Park Pond,SW24-55-25-W4,RNTR,Riverence,AF2N,20.1,11500,08-05-2026
Castaway Trout Pond,NE35-47-13-W4,RNTR,Riverence,AF3N,22.7,1000,11-05-2026
Chain Lakes Reservoir,NE4-15-2-W5,RNTR,Riverence,AF3N,20.6,6000,30-04-2026
Chain Lakes Reservoir,NE4-15-2-W5,RNTR,Riverence,AF3N,23.8,2420,30-04-2026
Chain Lakes Reservoir,NE4-15-2-W5,RNTR,Riverence,AF3N,20.1,11580,30-04-2026
Coronation Reservoir,SW24-36-11-W4,RNTR,Riverence,AF3N,20.6,5300,27-04-2026
County Sportplex Pond,NW14-72-6-W6,RNTR,Riverence,AF3N,23.5,2000,08-05-2026
Cow Lake,NE12-38-8-W5,RNTR,Riverence,AF2N,20.5,8000,15-05-2026
Crossfield Trout Pond,SE27-28-1-W5,RNTR,Riverence,AF3N,23.5,1400,29-04-2026
Cummings Lake,SE10-82-3-W6,RNTR,Riverence,AF2N,23.3,800,28-05-2026
Daysland Pond,NE9-45-16-W4,RNTR,Riverence,AF3N,22.7,400,11-05-2026
Dickson Trout Pond,NW13-35-3-W5,RNTR,Riverence,AF3N,20.6,4272,04-05-2026
Dickson Trout Pond,NW13-35-3-W5,RNTR,Riverence,AF3N,20.1,6938,04-05-2026
Dickson Trout Pond,NW13-35-3-W5,RNTR,Riverence,AF3N,20.1,8793,04-05-2026
Dickson Trout Pond,NW13-35-3-W5,RNTR,Riverence,AF3N,23.9,519,02-06-2026
Diplomat Mine Pond,NW1-41-16-W4,RNTR,Riverence,AF2N,19.9,5000,29-04-2026
Elk Point Pond,NW36-56-7-W4,RNTR,Riverence,AF3N,23.1,900,12-05-2026
Emerson Lake,SW5-19-28-W4,RNTR,Riverence,AF3N,23.7,1400,22-04-2026
Footner Pond,SE5-111-19-W5,RNTR,Riverence,AF3N,23.7,500,20-05-2026
Fox Creek Trout Pond,NW13-63-20-W5,RNTR,Riverence,AF3N,23.7,500,19-05-2026
Grande Cache Lake,NE1-57-8-W6,RNTR,Riverence,AF2N,20.7,10045,28-05-2026
Hasse Lake,SW13-52-2-W5,RNTR,Riverence,AF2N,20.6,10000,06-05-2026
Helmer Reservoir,SW18-31-14-W4,RNTR,Riverence,AF2N,20,5000,23-04-2026
Heritage Lake,NW33-55-25-W4,RNTR,Riverence,AF3N,22.2,2160,05-05-2026
Heritage Lake,NW33-55-25-W4,RNTR,Riverence,AF3N,23.8,1890,02-06-2026
Hermitage Park Pond,NE18-53-23-W4,RNTR,Riverence,AF3N,24.2,1100,08-05-2026
Hermitage Park Pond,NE18-53-23-W4,RNTR,Riverence,AF3N,23.8,695,04-06-2026
High Level Community,SE6-110-19-W5,RNTR,Riverence,AF3N,23.7,500,20-05-2026
